Company,Earnings($B),Share Price,Pct_change,Trend,Country
Air Products and Chemicals,3.05,259.84,0.56,down,USA
Bank Hapoalim,3.04,9.7,0.03,down,Israel
Standard Bank Group,3.04,11.82,1.38,down,South Africa
Chugai Pharmaceutical,3.03,38.28,3.5,down,Japan
General Mills,3.02,62.86,0.27,down,USA
KLA,3.02,858.12,0.05,up,USA
Korea Electric Power,3.0,7.1,2.34,down,S. Korea
Fubon Financial,2.99,2.82,0.88,up,Taiwan
Power Financial,2.98,13.82,0.0,up,Canada
Zoetis,2.98,177.98,0.59,down,USA
Discover Financial Services,2.97,137.06,4.4,up,USA
Oneok,2.96,84.68,0.02,up,USA
Trane Technologies,2.96,341.0,0.82,down,Ireland
Las Vegas Sands,2.96,42.25,1.12,down,USA
Cincinnati Financial,2.96,123.26,0.75,up,USA
BAE Systems,2.96,16.51,0.47,down,UK
Cathay Financial Holding,2.95,2.01,0.62,up,Taiwan
Denso,2.95,16.17,0.79,down,Japan
Saudi Electricity,2.94,4.39,0.61,up,S. Arabia
Vår Energi,2.93,3.26,1.67,down,Norway
Telkom Indonesia,2.93,19.38,1.77,down,Indonesia
Fifth Third Bank,2.92,39.16,1.77,up,USA
Recruit,2.92,58.98,1.65,down,Japan
Daikin,2.92,143.47,2.03,down,Japan
Adani Power,2.92,8.53,0.55,up,India
Constellation Brands,2.91,249.53,3.96,down,USA
CK Asset Holdings,2.9,3.87,1.15,down,Hong Kong
Larsen & Toubro,2.89,43.53,0.41,down,India
Martin Marietta,2.89,556.57,0.37,up,USA
Poste Italiane,2.89,13.22,0.29,down,Italy
Yapı Kredi,2.88,0.98,2.27,up,Turkey
Kotak Mahindra Bank,2.87,21.61,2.07,down,India
RenaissanceRe,2.87,225.18,2.35,up,Bermuda
China Unicom,2.87,0.94,0.0,up,Hong Kong
Hong Kong Exchanges & Clearing,2.87,30.98,2.34,down,Hong Kong
GE HealthCare Technologies,2.87,80.19,0.11,down,USA
Cement Roadstone Holding,2.85,79.58,0.2,up,Ireland
Loblaw Companies,2.84,121.43,0.14,down,Canada
Michelin,2.84,37.95,0.66,down,France
Apache Corporation,2.84,31.46,4.97,up,USA
Mahindra & Mahindra,2.83,33.0,0.94,up,India
Deutsche Börse,2.82,207.95,0.08,down,Germany
NRG Energy,2.82,75.39,5.68,down,USA
Cummins,2.81,288.93,1.43,up,USA
Samsung Life Insurance,2.81,67.21,0.0,up,S. Korea
Galp Energia,2.8,20.66,1.33,down,Portugal
Aena,2.8,210.18,0.46,down,Spain
American Airlines,2.79,10.63,0.47,down,USA
Jardine Cycle & Carriage,2.79,19.04,0.27,down,Singapore
Heineken,2.78,96.87,0.11,up,Netherlands
Hindustan Petroleum,2.78,4.29,2.92,up,India
Stellantis,2.78,20.23,0.39,down,Netherlands
Kroger,2.77,52.12,0.7,down,USA
Xcel Energy,2.77,53.23,1.93,down,USA
Edison International,2.77,73.05,2.39,down,USA
Cognizant Technology Solutions,2.77,72.43,1.26,up,USA
Keurig Dr Pepper,2.77,32.67,0.15,up,USA
Maybank,2.76,6.0,2.44,down,Malaysia
Emerson,2.75,116.97,2.08,up,USA
National Grid,2.75,60.81,2.16,down,UK
Aluminum Corporation of China,2.74,1.09,1.74,down,China
Hannover Rück,2.73,254.99,2.3,down,Germany
Great-West Lifeco,2.73,29.31,0.02,up,Canada
Baker Hughes,2.72,35.71,3.51,up,USA
TE Connectivity,2.72,156.18,0.24,up,Switzerland
China Life Insurance,2.71,4.29,0.86,down,China
NN Group,2.71,48.97,0.18,down,Netherlands
FirstRand,2.71,4.35,1.41,down,South Africa
Lufthansa,2.69,6.21,1.45,down,Germany
Renesas Electronics,2.69,20.54,1.37,up,Japan
Ross Stores,2.69,148.08,2.41,down,USA
Industrial Bank of Korea (IBK),2.69,10.06,0.22,up,S. Korea
Canon,2.68,28.28,1.75,up,Japan
Haleon,2.66,8.78,1.35,down,UK
CSL,2.66,207.74,0.23,down,Australia
American Electric Power,2.65,90.94,0.02,down,USA
SM Investments Corporation,2.65,12.58,0.0,up,Philippines
GCL Technology,2.65,0.15,5.26,up,Hong Kong
Arista Networks,2.64,360.42,0.41,down,USA
T. Rowe Price,2.64,118.74,0.61,up,USA
Luzhou Laojiao,2.64,18.93,0.53,down,China
Kuwait Finance House,2.63,2389.0,0.14,down,Kuwait
Brookfield Infrastructure Partners,2.62,30.56,1.32,down,Bermuda
Wilmar International,2.62,2.32,0.64,down,Singapore
Dubai Electricity and Water Authority (DEWA),2.62,0.63,0.0,up,UAE
Prudential Financial,2.61,125.54,1.84,up,USA
HeidelbergCement,2.61,110.81,0.49,up,Germany
Union Bank of India,2.59,1.67,0.34,up,India
W. W. Grainger,2.58,942.78,2.65,up,USA
Analog Devices,2.57,237.72,0.35,down,USA
Everest Group,2.57,396.26,3.83,up,Bermuda
Hang Seng Bank,2.57,12.86,0.69,down,Hong Kong
Mashreqbank,2.56,56.9,1.95,up,UAE
Moody's,2.56,446.7,0.16,up,USA
Quiñenco,2.56,3.66,1.41,down,Chile
Entergy,2.56,106.83,2.14,down,USA
Siemens Healthineers,2.56,58.87,1.14,down,Germany
The Hershey Company,2.56,188.92,0.01,down,USA
Antofagasta,2.55,27.27,1.96,down,UK
Amphenol,2.55,69.71,0.21,down,USA
Banco Santander Brasil,2.55,5.19,0.57,down,Brazil
Capgemini,2.54,209.15,0.03,down,France
Emaar Development,2.53,2.19,0.12,down,UAE
Woori Financial Group,2.53,32.54,0.88,down,S. Korea
ON Semiconductor,2.52,76.37,0.65,down,USA
HCL Technologies,2.52,18.79,0.0,up,India
PBF Energy,2.5,40.4,0.79,down,USA
Norfolk Southern,2.5,227.76,2.9,up,USA
China Zheshang Bank,2.5,0.27,0.47,down,China
Swisscom,2.5,585.03,0.38,down,Switzerland
George Weston,2.49,152.39,0.03,down,Canada
Mitsubishi Electric,2.49,18.0,2.7,up,Japan
CNH Industrial,2.47,11.45,0.61,down,UK
Northrop Grumman,2.47,431.92,0.07,down,USA
Harbour Energy,2.46,3.97,1.0,down,UK
DSV,2.44,168.65,0.83,down,Denmark
Ahold Delhaize,2.44,31.34,0.63,up,Netherlands
Ferguson,2.43,205.74,0.85,up,UK
Brookfield Property Partners,2.42,14.78,0.14,down,Bermuda
CTBC Financial Holding,2.42,1.15,0.8,down,Taiwan
Swiss Life,2.41,749.15,0.86,down,Switzerland
Wesfarmers,2.41,47.26,0.06,up,Australia
Canara Bank,2.41,1.39,1.03,down,India
Riyad Bank,2.4,7.26,1.87,up,S. Arabia
Singapore Airlines,2.4,5.28,0.42,up,Singapore
Bouygues,2.4,35.05,0.0,up,France
Carrier,2.38,67.36,2.06,up,USA
CRRC,2.37,0.62,1.42,down,China
Rogers Communication,2.37,37.47,0.51,up,Canada
Mitsubishi Heavy Industries,2.36,12.23,5.04,up,Japan
Microchip Technology,2.36,92.09,0.56,down,USA
East Japan Railway,2.36,16.96,0.57,down,Japan
Hikvision,2.35,4.16,0.73,up,China
Kaspi.kz Joint Stock Company,2.33,136.27,3.31,up,Kazakhstan
Kubota,2.33,14.23,0.13,down,Japan
Huaneng Power,2.33,1.21,0.23,down,China
Omnicom,2.33,93.75,0.48,up,USA
Bajaj Finance,2.32,84.5,0.07,down,India
Ovintiv,2.32,48.89,1.35,up,USA
Raymond James,2.31,121.11,0.04,up,USA
Renault,2.3,54.42,0.56,down,France
Cencora,2.3,222.2,0.18,down,USA
Yili Group,2.3,3.52,0.2,up,China
NTT Data,2.28,14.8,0.24,up,Japan
Toyota Industries,2.28,85.86,0.04,down,Japan
Bank of Ireland Group,2.28,11.04,0.78,down,Ireland
Ecolab,2.28,241.85,1.73,down,USA
Air Canada,2.28,12.63,0.46,down,Canada
The Saudi British Bank,2.28,10.22,0.0,up,S. Arabia
Regions Financial,2.28,21.0,2.59,up,USA
Link REIT,2.28,4.16,1.52,down,Hong Kong
Mitsui Fudosan,2.27,9.67,0.39,down,Japan
Mizrahi-Tefahot,2.27,38.4,0.22,up,Israel
Republic Services,2.26,201.19,0.47,up,USA
PKO Bank Polski,2.25,15.35,1.73,down,Poland
International Holding Company,2.25,111.41,0.17,down,UAE
HF Sinclair,2.25,48.61,0.91,up,USA
Paychex,2.25,121.63,2.81,up,USA
Adaro Energy,2.25,0.18,0.0,up,Indonesia
Suncorp,2.25,11.43,0.24,down,Australia
Global Payments,2.25,99.5,2.1,up,USA
Teck Resources,2.24,50.0,1.54,down,Canada
lululemon athletica,2.23,283.72,2.52,down,Canada
Idemitsu Kosan,2.23,6.55,1.67,up,Japan
Hilton Worldwide,2.23,222.99,1.03,up,USA
Consolidated Edison,2.23,90.26,2.09,down,USA
Pilbara Minerals,2.23,2.02,0.66,down,Australia
State Street Corporation,2.22,78.94,0.48,up,USA
POSCO,2.22,69.38,2.84,down,S. Korea
Otis Worldwide,2.21,99.44,0.77,down,USA
Industrivarden,2.21,33.18,0.51,up,Sweden
Ares Management,2.19,145.98,2.41,up,USA
Banco Sabadell,2.19,2.06,0.58,down,Spain
Rede D'Or Sao Luiz,2.18,5.42,1.83,up,Brazil
LG Energy Solution,2.18,250.69,3.35,down,S. Korea
Meituan,2.17,15.06,1.34,down,China
Evergreen Marine,2.17,5.27,1.15,down,Taiwan
Nippon Yūsen,2.16,29.47,0.11,up,Japan
Rural Electrification Corp,2.16,7.39,2.53,down,India
Thomson Reuters,2.16,164.02,0.63,down,Canada
Public Storage,2.16,302.04,0.19,down,USA
Fujifilm,2.16,24.17,0.5,up,Japan
Fox Corporation,2.15,33.55,0.6,up,USA
Hindalco Industries,2.15,8.27,1.33,down,India
BCE,2.15,32.7,0.71,up,Canada
Airbnb,2.15,147.22,0.3,up,USA
MOL Group,2.15,7.94,0.56,up,Hungary
National Bank of Kuwait,2.14,2840.0,0.12,down,Kuwait
Boston Scientific,2.14,78.02,0.42,up,USA
Huntington Bancshares,2.14,13.73,1.4,up,USA
Intel,2.14,34.46,0.09,down,USA
IQVIA,2.13,225.89,0.77,up,USA
Compass Group,2.13,28.23,0.18,up,UK
PSEG,2.12,74.54,2.28,down,USA
Toll Brothers,2.11,123.48,0.27,up,USA
Türkiye Petrol Rafinerileri,2.11,5.05,0.71,down,Turkey
CIMB Group,2.11,1.53,0.42,down,Malaysia
Maruti Suzuki India,2.11,151.3,0.03,down,India
Sekisui House,2.11,23.79,1.56,up,Japan
Ashtead,2.1,68.57,1.16,down,UK
Loews Corporation,2.1,77.42,0.65,up,USA
Isuzu,2.1,14.11,1.99,up,Japan
BPER Banca,2.1,5.66,1.33,up,Italy
China Merchants Shekou Industrial Zone,2.09,1.3,2.05,up,China
Kimberly-Clark,2.09,141.01,0.37,down,USA
Bank Pekao (Bank Polska Kasa Opieki),2.08,42.4,3.4,down,Poland
Luxshare Precision,2.08,5.94,5.32,up,China
Mazda,2.08,9.62,0.16,down,Japan
Grupo Financiero Inbursa,2.08,2.49,3.03,down,Mexico
W. R. Berkley,2.07,54.02,1.07,up,USA
Sociedad Química y Minera,2.07,41.71,2.59,down,Chile
Quanta Computer,2.07,9.9,0.15,down,Taiwan
Ford Otosan,2.06,32.13,0.56,down,Turkey
Sino Biopharmaceutical,2.06,0.36,2.17,up,China
ArcelorMittal,2.05,23.44,0.51,down,Luxembourg
Bancolombia,2.05,33.96,1.59,down,Colombia
Weichai Power,2.04,1.56,3.96,down,China
Arca Continental,2.04,10.09,0.01,up,Mexico
Pembina Pipeline,2.03,37.52,0.66,down,Canada
Coca-Cola FEMSA,2.03,86.09,2.29,down,Mexico
Dubai Islamic Bank,2.02,1.6,0.0,up,UAE
Brookfield Renewable Partners,2.02,25.63,5.7,down,Bermuda
Mitsui O.S.K. Lines,2.01,30.44,0.43,down,Japan
United Microelectronics,2.01,8.19,1.56,down,Taiwan
Hewlett Packard Enterprise,2.01,21.44,1.28,up,USA
Monster Beverage,2.01,49.86,1.91,down,USA
Kenvue,2.0,18.11,1.25,down,USA
Sempra Energy,2.0,76.02,1.34,down,USA
Tohoku Electric Power,2.0,8.63,1.41,down,Japan
JFE Holdings,1.99,14.77,0.26,down,Japan
Wipro,1.99,6.68,0.6,down,India
Nokia,1.99,3.92,1.75,down,Finland
NVR,1.99,8069.0,0.08,up,USA
Banco de Chile,1.98,24.12,1.07,down,Chile
Mitsubishi Chemical Holdings,1.98,5.75,1.51,down,Japan
Banca Monte dei Paschi di Siena,1.98,5.41,0.04,up,Italy
KPN,1.98,4.01,0.52,up,Netherlands
Eiffage,1.97,100.08,0.04,down,France
SITC International,1.97,2.37,2.53,down,Hong Kong
BB Seguridade Participações,1.96,6.26,0.24,up,Brazil
EDP Group,1.96,3.87,1.42,down,Portugal
Motorola Solutions,1.95,394.39,1.08,up,USA
ZTE,1.94,3.91,2.34,up,China
Kühne + Nagel,1.94,289.72,1.09,up,Switzerland
Volvo Car,1.93,2.98,2.11,down,Sweden
Ameren,1.93,72.75,1.53,down,USA
Dollar General,1.93,126.96,4.12,down,USA
PPG Industries,1.93,130.88,0.2,up,USA
Credicorp,1.91,168.8,1.32,down,Bermuda
Dover,1.91,184.99,0.25,up,USA
Allstate,1.91,166.91,1.97,up,USA
Korean Air Lines,1.9,17.11,1.05,down,S. Korea
Mindray,1.9,37.41,2.05,down,China
Assa Abloy,1.9,27.97,6.54,up,Sweden
7-Eleven,1.89,11.27,1.57,down,Japan
Telstra,1.89,2.58,0.26,down,Australia
Cintas,1.89,714.85,0.96,down,USA
YANGHE,1.88,11.07,0.46,up,China
Builders FirstSource,1.88,153.17,0.29,up,USA
Lincoln National Corporation,1.88,32.81,1.93,up,USA
Efes Beverage Group,1.87,9.06,3.36,up,Turkey
Nu Holdings,1.87,13.34,0.52,down,Brazil
CF Industries,1.87,70.75,0.16,up,USA
Sandvik,1.87,20.42,0.64,down,Sweden
Jabil,1.86,115.3,0.32,up,USA
Roper Technologies,1.86,559.15,0.14,up,USA
Nomura Holdings,1.86,6.05,0.0,up,Japan
JSC Halyk Bank,1.86,17.44,0.0,up,Kazakhstan
Mitsubishi Estate,1.85,16.5,1.53,down,Japan
Intuitive Surgical,1.84,437.25,1.56,down,USA
Fortum,1.84,14.93,0.69,down,Finland
Plains All American Pipeline,1.84,18.68,1.3,up,USA
QBE Insurance,1.83,11.49,0.53,down,Australia
Plains GP,1.83,19.58,1.19,up,USA
Aviva,1.83,6.24,1.06,down,UK
United Tractors,1.83,1.47,0.21,up,Indonesia
Yum! Brands,1.83,127.89,2.6,down,USA
Uber,1.82,72.29,0.19,down,USA
Qantas Airways,1.82,4.11,1.3,down,Australia
Sampo,1.82,43.08,1.42,down,Finland
Sumitomo Denki Kōgyō,1.82,15.65,1.25,up,Japan
Trip.com,1.82,47.79,4.93,down,China
Santos,1.81,5.36,0.5,down,Australia
Liberty Media,1.81,23.78,3.92,up,USA
Fosun,1.81,0.54,0.94,down,China
Anhui Conch Cement,1.81,2.82,0.0,up,China
PBBank (Public Bank Bhd),1.81,0.88,0.0,up,Malaysia
Ferrari,1.79,428.56,1.52,down,Italy
Citizens Financial Group,1.79,38.66,1.2,up,USA
National Bank of Greece,1.79,8.71,0.23,up,Greece
Sika,1.78,290.73,0.27,down,Switzerland
Coterra Energy,1.78,27.25,0.55,up,USA
Santander Polska,1.77,140.79,3.06,down,Poland
Western Midstream,1.77,41.75,1.93,up,USA
BDO Unibank,1.77,24.26,2.49,down,Philippines
Neste,1.76,18.16,1.36,down,Finland
Marathon Oil,1.76,28.74,1.02,up,USA
Yamaha Motor,1.76,9.83,0.22,down,Japan
China Tower,1.76,0.13,1.94,down,China
Yancoal,1.76,4.82,0.28,down,Australia
Banco BPM,1.75,6.83,0.42,up,Italy
Signature Bank,1.75,2.4,9.59,up,USA
Murata Manufacturing (Murata Seisakusho),1.75,23.83,5.54,up,Japan
Sungrow Power Supply,1.74,9.68,9.84,up,China
Fresenius,1.73,32.06,2.05,up,Germany
Legrand,1.73,103.67,0.48,down,France
Sumitomo Realty & Development,1.73,31.65,1.44,down,Japan
Ayala Corporation,1.72,9.85,2.07,up,Philippines
CMS Energy,1.72,60.31,1.44,down,USA
Huatai Securities,1.72,1.72,0.72,up,China
SMC corp,1.72,515.54,0.42,up,Japan
Hindustan Unilever,1.71,32.18,2.6,up,India
Ares Capital,1.71,21.03,0.76,down,USA
Johnson Controls,1.71,70.01,0.04,up,Ireland
Mediobanca,1.71,15.63,0.31,up,Italy
MercadoLibre,1.71,1744.0,0.98,down,Argentina
Tōkyō Gas,1.71,21.55,0.06,up,Japan
Aptiv,1.7,72.26,0.63,down,Ireland
Eurobank Ergasias Services and Holdings,1.7,2.31,0.89,down,Greece
CNA Financial,1.7,47.42,0.02,down,USA
Chipotle Mexican Grill,1.7,56.61,1.84,down,USA
Ametek,1.7,172.11,1.53,up,USA
Terna,1.7,8.08,0.88,down,Italy
American Water Works,1.69,136.33,1.98,down,USA
Targa Resources,1.69,134.34,0.53,down,USA
SABIC,1.68,20.81,0.65,up,S. Arabia
Unum,1.68,52.95,1.98,up,USA
Uni-President Enterprises,1.68,2.61,1.85,down,Taiwan
Israel Discount Bank,1.68,5.69,0.98,up,Israel
Realty Income,1.67,55.98,0.41,up,USA
Arthur J. Gallagher & Co.,1.67,270.46,0.22,down,USA
Asahi Group,1.67,35.64,2.01,down,Japan
Samsung SDI,1.67,162.43,1.54,down,S. Korea
Equitable Holdings,1.66,42.91,1.23,up,USA
WEC Energy Group,1.66,79.61,1.46,down,USA
Genuine Parts Company,1.66,141.23,2.13,up,USA
Tourmaline Oil,1.66,45.08,0.26,down,Canada
Kasikornbank,1.66,3.48,0.8,up,Thailand
Bank Negara Indonesia,1.65,0.31,0.9,down,Indonesia
CGI,1.65,104.93,0.9,down,Canada
Snam,1.65,4.67,0.35,down,Italy
Old Dominion Freight Line,1.65,195.25,2.64,up,USA
ULTA Beauty,1.65,395.16,4.31,down,USA
VakıfBank,1.65,0.71,0.78,up,Turkey
Banco Bradesco,1.65,2.32,0.85,down,Brazil
Grasim Industries,1.65,33.84,0.84,up,India
Kunlun Energy Company,1.65,1.07,1.18,down,Hong Kong
Sibanye-Stillwater,1.65,4.71,1.05,down,South Africa
CDW Corporation,1.65,232.77,1.87,up,USA
Interpublic Group,1.64,29.5,0.27,up,USA
Anta Sports,1.64,9.43,0.94,down,China
Molson Coors,1.64,51.34,0.2,up,USA
Becton Dickinson,1.64,226.08,1.32,down,USA
Lenovo,1.64,1.38,2.01,down,Hong Kong
Banco Macro,1.63,52.23,2.74,down,Argentina
Magna International,1.63,44.45,0.0,up,Canada
Yanlord,1.63,0.33,0.0,up,Singapore
Daiichi Sankyō,1.63,37.96,0.43,up,Japan
Associated British Foods,1.63,31.98,0.2,down,UK
CPFL Energia,1.63,6.1,1.78,down,Brazil
Reliance,1.62,300.44,1.22,up,USA
Best Buy,1.62,85.5,0.89,down,USA
Edwards Lifesciences,1.62,89.5,1.64,down,USA
Hoya,1.62,128.48,0.85,down,Japan
China Longyuan Power Group,1.61,0.94,0.14,up,China
JSW Steel,1.61,11.18,0.28,up,India
Nongfu Spring,1.61,4.17,2.84,down,China
WuXi AppTec,1.61,3.65,0.35,up,China
Ternium,1.6,37.42,0.11,up,Luxembourg
Coinbase,1.6,242.85,11.39,up,USA
Punjab National Bank,1.6,1.43,0.88,down,India
Copart,1.6,54.72,1.48,down,USA
Albertsons,1.58,19.57,0.36,up,USA
Electronic Arts,1.58,145.0,0.47,down,USA
Hapag-Lloyd,1.58,168.97,5.01,up,Germany
LPL Financial,1.58,263.95,0.11,up,USA
Guotai Junan Securities,1.57,1.87,0.89,up,China
Principal,1.57,86.08,1.35,up,USA
MSCI,1.57,501.5,0.1,down,USA
Cemig,1.57,1.93,0.52,up,Brazil
ANA Holdings,1.57,19.03,1.05,down,Japan
QNB Finansbank,1.57,9.22,0.91,up,Turkey
Yuexiu Property,1.57,0.69,0.92,down,Hong Kong
Coca-Cola European Partners,1.56,72.99,1.5,down,UK
Lonza,1.56,570.96,0.93,down,Switzerland
H&M,1.56,16.14,0.78,down,Sweden
Fortis,1.56,39.51,1.1,down,Canada
Intact Financial,1.55,174.93,0.66,up,Canada
Mapfre,1.55,2.32,0.93,down,Spain
Thales,1.55,165.21,1.11,down,France
Sirius XM,1.55,3.89,4.85,up,USA
Adani Ports & SEZ,1.55,17.94,0.27,up,India
Delta Electronics,1.54,12.66,0.6,down,Taiwan
Synopsys,1.54,616.01,0.32,up,USA
Nidec,1.54,43.64,1.61,down,Japan
Molina Healthcare,1.54,283.98,3.19,down,USA
Restaurant Brands International,1.54,72.37,0.77,down,Canada
WH Group,1.54,0.69,3.06,up,Hong Kong
Alinma Bank,1.54,8.62,0.47,up,S. Arabia
Dassault Systèmes,1.54,36.9,2.17,down,France
Woolworths Group,1.53,23.31,0.55,up,Australia
Owens Corning,1.53,174.22,1.49,down,USA
Fastenal,1.53,67.83,3.65,up,USA
Banco Comercial Português (Millennium bcp),1.53,0.42,2.42,up,Portugal
Amadeus IT Group,1.53,67.83,1.36,down,Spain
Deutsche Wohnen,1.52,20.34,0.21,up,Germany
Bharti Airtel,1.52,17.55,2.01,up,India
Henderson Land Development,1.52,2.88,1.97,down,Hong Kong
Naver,1.52,124.15,2.67,down,S. Korea
Resona Holdings,1.51,6.73,1.72,up,Japan
Willis Towers Watson,1.51,263.33,0.33,down,UK
Aeon,1.5,20.81,2.46,down,Japan
Enel Américas,1.5,0.09739,0.53,down,Chile
MTR Corporation,1.5,3.16,1.0,down,Hong Kong
Kirin Holdings,1.5,13.31,1.84,down,Japan
Petro Rio,1.5,8.55,2.04,up,Brazil
Amundi,1.5,72.06,0.9,down,France
Mechel PAO,1.5,2.25,0.0,up,Russia
Equatorial Energia,1.49,6.2,1.23,down,Brazil
S.F. Express,1.49,4.78,0.06,up,China
Air France-KLM,1.49,8.65,1.17,down,France
Equinix,1.49,804.66,0.02,down,USA
Vipshop,1.49,13.69,2.98,down,China
Gerdau,1.49,3.39,1.19,up,Brazil
Solventum,1.48,48.22,1.59,down,USA
Chunghwa Telecom,1.48,36.4,0.3,down,Taiwan
Carrefour,1.48,15.33,0.57,down,France
InterGlobe Aviation,1.47,53.04,1.03,up,India
Zhongsheng Group,1.47,1.66,1.07,down,China
ZTO Express,1.47,20.05,2.15,down,China
Bangkok Bank,1.46,3.78,2.63,up,Thailand
FirstEnergy,1.46,38.86,1.67,down,USA
Grupo Carso,1.46,7.45,1.06,down,Mexico
AES,1.46,17.0,10.01,down,USA
RSA Insurance Group,1.45,1.6,0.61,up,UK
Tractor Supply,1.45,270.84,0.08,down,USA
Chesapeake Energy,1.45,83.77,0.35,up,USA
Osaka Gas,1.44,21.75,2.2,up,Japan
CNX Resources,1.44,26.31,1.54,up,USA
ENGIE Brasil,1.44,8.52,0.56,down,Brazil
IndusInd Bank,1.44,17.31,0.13,up,India
VEON,1.44,25.98,0.23,up,Netherlands
Essity,1.44,26.14,0.36,down,Sweden
TDK,1.44,70.68,5.41,up,Japan
Schibsted,1.44,29.92,0.55,down,Norway
United Therapeutics,1.43,327.26,1.83,up,USA
Wabtec,1.43,164.16,0.79,up,USA
Krung Thai Bank,1.43,0.48,0.57,down,Thailand
Wolters Kluwer,1.43,167.99,0.55,up,Netherlands
Franklin Resources,1.43,23.23,0.13,up,USA
Vulcan Materials,1.42,253.9,0.55,up,USA
Brown Forman,1.42,44.53,1.0,down,USA
SSAB,1.42,5.51,3.18,down,Sweden
Nutrien,1.42,50.01,0.66,up,Canada
Li Auto,1.42,20.6,3.2,down,China
Crown Castle,1.42,103.12,0.42,down,USA
Shionogi,1.41,41.67,0.65,down,Japan
Hankook Tire,1.41,30.5,0.12,down,S. Korea
East West Bancorp,1.41,77.42,1.47,up,USA
Vodacom,1.4,5.32,3.05,down,South Africa
Fortinet,1.4,59.9,0.59,up,USA
DTE Energy,1.4,113.13,1.18,down,USA
Chongqing Rural Commercial Bank,1.4,0.52,0.25,up,China
Cemex,1.4,6.74,2.03,down,Mexico
GAIL,1.4,2.79,1.58,down,India
Centrais Electricas Brasileiras,1.39,7.14,1.11,down,Brazil
Snap-on,1.39,270.84,0.45,up,USA
NEC Corp,1.39,85.95,3.03,up,Japan
LATAM Airlines,1.39,0.01392,0.0,up,Chile
Extra Space Storage,1.39,162.4,0.3,up,USA
Dick's Sporting Goods,1.38,215.52,2.77,down,USA
Estee Lauder,1.38,101.04,2.24,down,USA
Telefonica Brasil,1.38,8.94,1.97,down,Brazil
Hydro One,1.38,29.39,0.12,down,Canada
SS&C Technologies,1.38,66.53,1.87,up,USA
Ooredoo Qatar,1.38,2.89,0.57,down,Qatar
China State Construction International,1.38,1.39,0.18,down,Hong Kong
ASR Nederland,1.37,49.58,1.09,down,Netherlands
Avis Budget Group,1.37,108.13,0.65,up,USA
First Pacific Company,1.37,0.45,3.31,down,Hong Kong
Royalty Pharma,1.37,26.65,0.45,down,UK
Williams-Sonoma,1.36,154.87,2.35,down,USA
Piraeus Financial Holdings,1.36,4.12,0.05,up,Greece
CLP Group,1.36,8.3,0.15,down,Hong Kong
Bankinter,1.36,8.46,1.31,up,Spain
StoneX Group,1.35,79.34,0.9,up,USA
Emera,1.35,33.82,0.41,down,Canada
Rockwell Automation,1.35,285.2,0.65,up,USA
Genting Berhad,1.35,1.02,1.28,up,Malaysia
Hindustan Zinc,1.35,7.93,0.36,up,India
KONE,1.35,50.76,0.66,down,Finland
WEG ON,1.34,8.55,1.37,up,Brazil
CarMax,1.34,82.0,1.32,up,USA
Bayan Resources,1.34,1.11,0.14,down,Indonesia
SCB (Siam Commercial Bank),1.34,2.84,0.49,down,Thailand
Globe Life,1.34,86.81,0.89,up,USA
Industries Qatar,1.33,3.62,0.23,down,Qatar
